,bus_stop_code,road_name,latitude,longitude,stop_description
4523,83309,Still Rd,1.31045482788745,103.9080685170053,Aft Still Lane
4524,83311,Still Rd,1.31241970275404,103.90692990251455,Aft Lor Nangka
4525,83319,Still Rd,1.3126883364587298,103.90714010649674,Aft Lor J Telok Kurau
4526,83321,Jln Kembangan,1.32168778524368,103.91365433764558,Kembangan Stn
4527,83329,Jln Kembangan,1.32198642679896,103.91379833222052,Opp Kembangan Stn
4528,83331,Lengkong Tiga,1.32349513640884,103.91271655859842,Kg Kembangan CC
4529,83341,Lengkong Tiga,1.32539968158209,103.91109803643086,Blk 102
4530,83351,Lengkong Empat,1.32765583299859,103.91213111102074,Grosvenor View
4531,83361,Lengkong Empat,1.32850781433023,103.91449570656201,Hua Yu Mans
4532,83371,Jln Selamat,1.32624566683557,103.91537946119738,Aft Jln Paras
4533,83381,Taman Kembangan,1.32466780744529,103.91452207182715,Bef Jln Kembangan
4534,84009,Bedok Nth Dr,1.32453874317344,103.9290381851584,Bedok Int
4535,84011,New Upp Changi Rd,1.32257749632692,103.92233358172962,Chai Chee Ind Pk
4536,84019,New Upp Changi Rd,1.32221972730517,103.92262015530927,Opp Chai Chee Ind Pk
4537,84021,New Upp Changi Rd,1.3233832043523301,103.92508721683168,Blk 32
4538,84029,New Upp Changi Rd,1.32295305994698,103.92517704260584,Opp Blk 32
4539,84031,New Upp Changi Rd,1.32428292329305,103.93003627080392,Bedok Stn Exit B
4540,84039,New Upp Changi Rd,1.3235364534490601,103.9288630020348,Bedok Stn Exit A
4541,84041,New Upp Changi Rd,1.3246905167586,103.93468799273931,Blk 221A
4542,84049,New Upp Changi Rd,1.32432719820227,103.93471220144858,Blk 27
4543,84051,New Upp Changi Rd,1.32520077474542,103.93890484697742,Bedok Sports Cplx
4544,84059,New Upp Changi Rd,1.32493504095045,103.93953481204564,Blk 65
4545,84061,New Upp Changi Rd,1.32584790501258,103.94223128727673,The Tanamera Condo
4546,84069,New Upp Changi Rd,1.32548742810424,103.9421901988728,Blk 55
